id;pikk_mudel;mudeli_tyyp;alates;kuni;id_2;mudel;id_3
2306;"Grand Cherokee";"5-deurs suv";1993;1999;308;"Grand Cherokee";20411
2307;"Grand Cherokee";"5-deurs suv";1999;2001;308;"Grand Cherokee";22877
2308;"Grand Cherokee";"5-deurs suv";2001;2003;308;"Grand Cherokee";24370
2309;"Grand Cherokee";"5-deurs suv";2003;2005;308;"Grand Cherokee";26138
2310;"Grand Cherokee";"5-deurs suv";2005;2008;308;"Grand Cherokee";28268
2920;"Grand Cherokee";"5-deurs suv";2008;2011;308;"Grand Cherokee";59585
3494;"Grand Cherokee";"5-deurs suv";2011;2013;308;"Grand Cherokee";97853
4011;"Grand Cherokee";"5-deurs suv";2013;heden;308;"Grand Cherokee";149567
3799;"Grand Cherokee Van";"5-deurs bestelwagen";2012;heden;308;"Grand Cherokee";126517
