id;pikk_mudel;mudeli_tyyp;alates;kuni;id_2;mudel;id_3
1691;Tipo;"5-deurs hatchback";1988;1993;221;Tipo;19303
1693;Tipo;"3-deurs hatchback";1993;1995;221;Tipo;20333
1695;Tipo;"5-deurs hatchback";1993;1995;221;Tipo;20337
