id;pikk_mudel;mudeli_tyyp;alates;kuni;id_2;mudel;id_3
1653;Regata;"4-deurs sedan";1984;1989;215;Regata;51137
1654;"Regata Weekend";"5-deurs stationwagon";1985;1989;215;Regata;51139
