id;Mudel
54;1-serie
1011;2-serie
55;3-serie
1003;4-serie
56;5-serie
57;6-serie
58;7-serie
59;8-serie
1005;i3
841;X1
60;X3
61;X5
798;X6
62;Z1
63;Z3
64;Z4
65;Z8
