id;Mudel
1;145
2;146
3;147
4;155
5;156
6;159
7;164
8;166
9;33
1006;4C
10;75
786;8C
11;90
12;"Alfa 6"
13;Alfasud
14;Alfetta
15;Brera
16;Giulietta
17;GT
18;GTV
805;MiTo
19;Spider
20;Sprint
