id;Mudel
28;100
29;200
30;80
31;90
878;A1
32;A2
33;A3
34;A4
856;"A4 Allroad"
35;A5
36;A6
857;"A6 Allroad"
890;A7
37;A8
39;Cabriolet
40;Coupe
916;Q3
806;Q5
41;Q7
42;Quattro
43;R8
44;TT
45;V8
