id;Mudel
654;Alto
655;Baleno
656;Cappuccino
657;"Grand Vitara"
658;Ignis
659;Jimny
891;Kizashi
660;Liana
661;Samurai
870;SC
662;SJ
788;Splash
663;Swift
664;SX4
665;Vitara
666;"Wagon R+"
667;X-90
