Nimi;URL
1200;418-1200
1800;419-1800
BRZ;1320-BRZ
Forester;407-Forester
G3X;408-G3X
Impreza;409-Impreza
Justy;413-Justy
Legacy;410-Legacy
Libero;412-Libero
Outback;411-Outback
Sedan;414-Sedan
Station;415-Station
SVX;416-SVX
XT;417-XT
XV;1272-XV
