Nimi;URL
Accent;179-Accent
Atos;180-Atos
Coupe/Tiburon;181-Coupe/Tiburon
Elantra;182-Elantra
Getz;183-Getz
Grandeur;1157-Grandeur
i10;1079-i10
i20;1128-i20
i30;1046-i30
i30cw;1195-i30cw
i40;1238-i40
i40cw;1240-i40cw
ix20;1216-ix20
ix35;1185-ix35
ix55;1186-ix55
Lantra;191-Lantra
Matrix;184-Matrix
Pony;192-Pony
S Coupe;871-S Coupe
Santa Fe;185-Santa Fe
Santamo;194-Santamo
Sonata;186-Sonata
Starex;193-Starex
Terracan;187-Terracan
Trajet;188-Trajet
Tucson;189-Tucson
Veloster;1233-Veloster
XG;190-XG
