Nimi;URL
Classic;535-Mini Classic
Clubman;536-Mini Clubman
Cooper;534-Mini Cooper
Cooper Classic;532-Mini Cooper Classic
Cooper D;1023-Mini Cooper D
Cooper S;615-Mini Cooper S
Countryman;1229-Mini Countryman
Moke;537-Mini Moke
One;533-Mini One
Paceman;1327-Mini Paceman
