Nimi;URL
3000GT;977-3000GT
ASX;1209-ASX
Canter;290-Canter
Carisma;276-Carisma
Colt;277-Colt
Cordia;575-Cordia
Eclipse;289-Eclipse
Evolution;574-Evolution
Galant;285-Galant
Galloper;286-Galloper
Grandis;278-Grandis
I-MiEV;1316-i-MiEV
L200;291-L200
L300;292-L300
Lancer;279-Lancer
Legnum;1143-Legnum
Outlander;280-Outlander
Pajero;281-Pajero
Santamo;287-Santamo
Sapporo;294-Sapporo
Sigma;288-Sigma
Space;282-Space
Space Gear;752-Space Gear
Space Runner;568-Space Runner
Space Star;283-Space Star
Space Wagon;284-Space Wagon
Starion;295-Starion
