Nimi;URL
Adam;1297-Adam
Agila;321-Agila
Ampera;1258-Ampera
Antara;1001-Antara
Arena;335-Arena
Ascona;336-Ascona
Astra;322-Astra
Calibra;334-Calibra
Campo;337-Campo
Cascada;1324-Cascada
Combo;323-Combo
Commodore;596-Commodore
Corsa;324-Corsa
Frontera;325-Frontera
Insignia;1117-Insignia
Kadett;338-Kadett
Manta;339-Manta
Meriva;326-Meriva
Mokka;1298-Mokka
Monterey;340-Monterey
Movano;341-Movano
Omega;331-Omega
GT;1006-Opel GT
Rekord;342-Rekord
Senator;343-Senator
Signum;327-Signum
Sintra;332-Sintra
Speedster;328-Speedster
Tigra;333-Tigra
Trans;344-Trans
Vectra;329-Vectra
Zafira;330-Zafira
