Nimi;URL
145;4-145
146;5-146
147;6-147
155;543-155
156;7-156
159;885-159
164;569-164
166;8-166
1750;889-1750
33;550-33
75;888-75
Alfetta;547-Alfetta
Brera;886-Brera
Giulia;890-Giulia
Giulietta;1190-Giulietta
GT;3-GT
GTV;2-GTV
MiTo;1116-MiTo
Spider;1-Spider
Sportwagon;9-Sportwagon
