Nimi;URL
Citigo;1289-Citigo
Fabia;398-Fabia
Favorit;401-Favorit
Felicia;402-Felicia
Forman;403-Forman
Octavia;399-Octavia
Rapid;772-Rapid
Roomster;937-Roomster
Superb;400-Superb
Yeti;1154-Yeti
