Nimi;URL
Alto;420-Alto
Baleno;427-Baleno
Carry;428-Carry
Grand Vitara;421-Grand Vitara
Ignis;422-Ignis
Jimny;423-Jimny
Kizashi;1226-Kizashi
Liana;424-Liana
LJ 80;875-LJ 80
Samurai;431-Samurai
SJ;429-SJ
Splash;1102-Splash
Swift;430-Swift
SX4;1029-SX4
Vitara;426-Vitara
Wagon R;425-Wagon R
