id;pikk_mudel;mudeli_tyyp;alates;kuni;id_2;mudel;id_3
214;Pathfinder;"5-deurs suv";2000;2001;481;Pathfinder;23695
215;Pathfinder;"5-deurs suv";2005;2010;481;Pathfinder;28511
3370;Pathfinder;"5-deurs suv";2010;heden;481;Pathfinder;94150
3858;"Pathfinder Van";"5-deurs bestelwagen";2012;heden;481;Pathfinder;94150
