id;pikk_mudel;mudeli_tyyp;alates;kuni;id_2;mudel;id_3
2228;Pony;"4-deurs hatchback";1978;1983;289;Pony;0
2229;Pony;"3-deurs hatchback";1981;1984;289;Pony;0
2233;Pony;"5-deurs hatchback";1982;1985;289;Pony;0
2235;Pony;"4-deurs sedan";1986;1989;289;Pony;0
2236;Pony;"5-deurs hatchback";1986;1989;289;Pony;0
2237;Pony;"3-deurs hatchback";1987;1989;289;Pony;0
2239;Pony;"3-deurs hatchback";1989;1994;289;Pony;19479
2240;Pony;"5-deurs hatchback";1989;1994;289;Pony;19482
2231;"Pony Combi";"5-deurs stationwagon";1981;1983;289;Pony;0
