id;pikk_mudel;kytus;kaigukast;alates;kuni
35587;"TF 115";B;H5;2005;2005
35586;"TF 135";B;H5;2005;2005
35591;"TF 135 Oxford Special Edition";B;H5;2005;2005
35591;"TF 135 Oxford Special Edition";B;H5;2005;2005
35590;"TF 120 Stepspeed";B;A1;2005;2005
35589;"TF 160";B;H5;2005;2005
